1;10;1
1;20;2
1;30;3
1;40;7
1;50;6
1;60;7
1;70;8
1;80;9
1;90;9
1;100;11
2;10;1
2;20;2
2;30;3
2;40;5
2;50;6
2;60;7
2;70;7
2;80;10
2;90;10
2;100;10
3;10;1
3;20;3
3;30;3
3;40;4
3;50;6
3;60;8
3;70;9
3;80;10
3;90;11
3;100;15
4;10;3
4;20;4
4;30;5
4;40;7
4;50;7
4;60;10
4;70;11
4;80;13
4;90;21
4;100;17
5;10;3
5;20;3
5;30;5
5;40;8
5;50;7
5;60;10
5;70;11
5;80;15
5;90;16
5;100;18
6;10;4
6;20;5
6;30;6
6;40;9
6;50;10
6;60;18
6;70;14
6;80;14
6;90;18
6;100;17
7;10;3
7;20;6
7;30;8
7;40;10
7;50;10
7;60;11
7;70;13
7;80;14
7;90;17
7;100;20
8;10;4
8;20;6
8;30;10
8;40;11
8;50;10
8;60;13
8;70;16
8;80;20
8;90;23
8;100;25
9;10;4
9;20;6
9;30;20
9;40;14
9;50;30
9;60;20
9;70;21
9;80;21
9;90;21
9;100;27
10;10;4
10;20;6
10;30;8
10;40;10
10;50;15
10;60;15
10;70;21
10;80;22
10;90;37
10;100;45
