1;10;1
1;20;2
1;30;4
1;40;5
1;50;6
1;60;6
1;70;8
1;80;9
1;90;10
1;100;11
2;10;2
2;20;3
2;30;4
2;40;5
2;50;7
2;60;8
2;70;8
2;80;10
2;90;11
2;100;18
3;10;2
3;20;2
3;30;3
3;40;5
3;50;6
3;60;8
3;70;9
3;80;11
3;90;12
3;100;16
4;10;2
4;20;3
4;30;5
4;40;6
4;50;8
4;60;9
4;70;17
4;80;16
4;90;18
4;100;21
5;10;2
5;20;3
5;30;4
5;40;7
5;50;9
5;60;11
5;70;12
5;80;14
5;90;15
5;100;19
6;10;3
6;20;5
6;30;6
6;40;10
6;50;7
6;60;11
6;70;12
6;80;16
6;90;16
6;100;24
7;10;4
7;20;5
7;30;7
7;40;15
7;50;9
7;60;11
7;70;14
7;80;10
7;90;13
7;100;17
8;10;4
8;20;5
8;30;5
8;40;9
8;50;10
8;60;16
8;70;27
8;80;21
8;90;20
8;100;31
9;10;4
9;20;7
9;30;9
9;40;12
9;50;32
9;60;36
9;70;24
9;80;22
9;90;26
9;100;29
10;10;7
10;20;22
10;30;18
10;40;12
10;50;18
10;60;24
10;70;19
10;80;23
10;90;2189
10;100;11
