1;10;2
1;20;3
1;30;3
1;40;8
1;50;7
1;60;7
1;70;7
1;80;10
1;90;10
1;100;11
2;10;1
2;20;3
2;30;3
2;40;5
2;50;6
2;60;7
2;70;8
2;80;10
2;90;12
2;100;11
3;10;1
3;20;4
3;30;4
3;40;6
3;50;6
3;60;8
3;70;14
3;80;11
3;90;11
3;100;17
4;10;3
4;20;4
4;30;6
4;40;6
4;50;8
4;60;9
4;70;10
4;80;13
4;90;16
4;100;16
5;10;2
5;20;3
5;30;5
5;40;7
5;50;9
5;60;11
5;70;12
5;80;12
5;90;15
5;100;17
6;10;3
6;20;5
6;30;7
6;40;9
6;50;14
6;60;15
6;70;11
6;80;15
6;90;17
6;100;19
7;10;5
7;20;6
7;30;7
7;40;10
7;50;12
7;60;12
7;70;12
7;80;12
7;90;17
7;100;22
8;10;4
8;20;5
8;30;7
8;40;10
8;50;13
8;60;16
8;70;18
8;80;21
8;90;20
8;100;26
9;10;9
9;20;13
9;30;13
9;40;12
9;50;14
9;60;19
9;70;23
9;80;24
9;90;23
9;100;28
10;10;4
10;20;6
10;30;8
10;40;11
10;50;16
10;60;18
10;70;20
10;80;29
10;90;29
10;100;30
