1;10;2
1;20;2
1;30;3
1;40;8
1;50;6
1;60;7
1;70;8
1;80;11
1;90;11
1;100;13
2;10;1
2;20;2
2;30;5
2;40;5
2;50;6
2;60;7
2;70;9
2;80;11
2;90;11
2;100;11
3;10;1
3;20;2
3;30;4
3;40;6
3;50;7
3;60;8
3;70;9
3;80;12
3;90;13
3;100;17
4;10;2
4;20;3
4;30;5
4;40;6
4;50;8
4;60;10
4;70;12
4;80;15
4;90;30
4;100;17
5;10;3
5;20;3
5;30;6
5;40;7
5;50;9
5;60;11
5;70;13
5;80;14
5;90;17
5;100;26
6;10;3
6;20;8
6;30;6
6;40;9
6;50;11
6;60;11
6;70;12
6;80;18
6;90;20
6;100;20
7;10;2
7;20;5
7;30;7
7;40;8
7;50;11
7;60;12
7;70;14
7;80;16
7;90;16
7;100;21
8;10;4
8;20;5
8;30;7
8;40;9
8;50;9
8;60;14
8;70;17
8;80;29
8;90;39
8;100;29
9;10;5
9;20;7
9;30;11
9;40;9
9;50;14
9;60;14
9;70;16
9;80;19
9;90;19
9;100;24
10;10;5
10;20;7
10;30;9
10;40;10
10;50;12
10;60;16
10;70;20
10;80;24
10;90;23
10;100;29
